conversion_id,click_id,campaign_id,campaign_name,conversion_method,country,city,isp,goal_id,goal_name,txn_id,device_id,p1,p2,p3,p4,p5,click_device,status,created,sale_amount,currency,payout,conv_request_ip,payout_in_campaign_currency,payout_in_user_currency,sale_amount_in_campaign_currency,sale_amount_in_user_currency,campaign_currency,created_date,created_time
6602b4ccd780f52287388f13,6602b4ccd780f52287388f12,8,Myntra,csv_upload,XX,XX,XX,655c58e5e2ae6d4a18742d03,"New User",1253669-44777344000000,,9h582rjc7qKjkF8Lb7Aj,,,,,,rejected,"2023-12-05 00:00:00",2236,INR,201.24,,201.24,201.24,2236,2236,INR,2023-12-05,00:00:00
6602b4cdd780f52287388f22,6602b4cdd780f52287388f21,8,Myntra,csv_upload,XX,XX,XX,655c58e5e2ae6d4a18742d03,"New User",1253647-53736443000603,,fvaIaOEi8wIgm3HL1u94,,,,,,rejected,"2023-12-05 00:00:00",262,INR,23.58,,23.58,23.58,262,262,INR,2023-12-05,00:00:00
65df0c4e78bcc048df1987fc,65df0c4e78bcc048df1987fb,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253719-7645333-4904801,,lSmpHPzFY6SOoOVNpwq4,7dc2b0b1,,,,,approved,"2023-12-06 00:00:00",217,INR,9.765,,9.765,9.765,217,217,INR,2023-12-06,00:00:00
65df0c8478bcc048df198bf5,65df0c8478bcc048df198bf4,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253729-6091750-3268003,,oyl7iweOoWRHxF3cmwvM,222,,,,,approved,"2023-12-06 00:00:00",306,INR,13.77,,13.77,13.77,306,306,INR,2023-12-06,00:00:00
65df0ce278bcc048df19934e,65df0ce278bcc048df19934d,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253748-6640364-6771601,,7XT3Z96wcpkNPjZsUyI0,222,,,,,approved,"2023-12-06 00:00:00",927,INR,41.715,,41.715,41.715,927,927,INR,2023-12-06,00:00:00
65df0ced78bcc048df199438,65df0ced78bcc048df199437,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253749-2055969-8024703,,t1hbd1qajVxILGdrsAUF,222,,,,,approved,"2023-12-06 00:00:00",927,INR,41.715,,41.715,41.715,927,927,INR,2023-12-06,00:00:00
65df0cfd78bcc048df199579,65df0cfd78bcc048df199578,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253749-9183930-5034303,,10gbgE7dFVDTCUXdDIRB,222,,,,,approved,"2023-12-06 00:00:00",927,INR,41.715,,41.715,41.715,927,927,INR,2023-12-06,00:00:00
65df0cfe78bcc048df19959a,65df0cfe78bcc048df199599,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253749-9836632-5468903,,BHKkmVi5KOTvcPtnqqds,222,,,,,approved,"2023-12-06 00:00:00",927,INR,41.715,,41.715,41.715,927,927,INR,2023-12-06,00:00:00
65df0d1078bcc048df1996f9,65df0d1078bcc048df1996f8,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253757-0764019-4431201,,,,,,,,approved,"2023-12-06 00:00:00",369,INR,16.605,,16.605,16.605,369,369,INR,2023-12-06,00:00:00
65df111c78bcc048df19e6c4,65df111c78bcc048df19e6c3,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253680-8823684-1724701,,6KgutZJ87a6S4vGhCj6n,,,,,,approved,"2023-12-06 00:00:00",1321,INR,59.445,,59.445,59.445,1321,1321,INR,2023-12-06,00:00:00
65df111d78bcc048df19e6e2,65df111d78bcc048df19e6e1,8,Myntra,csv_upload,XX,XX,XX,655c58e5e2ae6d4a18742d03,"New User",1253683-3407725-9938901,,,,,,,,approved,"2023-12-06 00:00:00",612,INR,55.08,,55.08,55.08,612,612,INR,2023-12-06,00:00:00
65df113978bcc048df19e9bb,65df113978bcc048df19e9ba,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253729-7417968-2700903,,qJdLBfv7CpQmN7DcpYAb,,,,,,approved,"2023-12-06 00:00:00",3080,INR,138.6,,138.6,138.6,3080,3080,INR,2023-12-06,00:00:00
65df115c78bcc048df19ed57,65df115c78bcc048df19ed56,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253748-5819888-8951403,,wrO9Z6Cktwg3kkswB0XE,,,,,,approved,"2023-12-06 00:00:00",917,INR,41.265,,41.265,41.265,917,917,INR,2023-12-06,00:00:00
65df115c78bcc048df19ed5a,65df115c78bcc048df19ed59,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253748-6766852-4368003,,igx2CHwBXtgz2l8mJeSB,,,,,,approved,"2023-12-06 00:00:00",917,INR,41.265,,41.265,41.265,917,917,INR,2023-12-06,00:00:00
65df115c78bcc048df19ed60,65df115c78bcc048df19ed5f,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253748-7386365-7096201,,9jJ3bmsJTMXUlJktgDm6,,,,,,approved,"2023-12-06 00:00:00",927,INR,41.715,,41.715,41.715,927,927,INR,2023-12-06,00:00:00
65df115d78bcc048df19ed63,65df115d78bcc048df19ed62,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253748-7852789-0315101,,9jJ3bmsJTMXUlJktgDm6,,,,,,approved,"2023-12-06 00:00:00",927,INR,41.715,,41.715,41.715,927,927,INR,2023-12-06,00:00:00
65df115d78bcc048df19ed66,65df115d78bcc048df19ed65,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253748-8032611-6055003,,l4nKiLxcI7O3iI0G0XPQ,,,,,,approved,"2023-12-06 00:00:00",917,INR,41.265,,41.265,41.265,917,917,INR,2023-12-06,00:00:00
65df115e78bcc048df19ed84,65df115e78bcc048df19ed83,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253748-8703136-0409103,,AGZdOMviQkfl02eb3gyX,,,,,,approved,"2023-12-06 00:00:00",927,INR,41.715,,41.715,41.715,927,927,INR,2023-12-06,00:00:00
65df115e78bcc048df19ed90,65df115e78bcc048df19ed8f,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253748-9139864-3851803,,eoJh9PBTlayjInFjom58,,,,,,approved,"2023-12-06 00:00:00",927,INR,41.715,,41.715,41.715,927,927,INR,2023-12-06,00:00:00
65df115f78bcc048df19eda5,65df115f78bcc048df19eda4,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253748-9801440-4893803,,N56Y7TsL6F2cqsCaSnjL,,,,,,approved,"2023-12-06 00:00:00",927,INR,41.715,,41.715,41.715,927,927,INR,2023-12-06,00:00:00
65df115f78bcc048df19eda8,65df115f78bcc048df19eda7,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253748-9931648-5461501,,ETUXTkS13Lu504D2fhhp,,,,,,approved,"2023-12-06 00:00:00",927,INR,41.715,,41.715,41.715,927,927,INR,2023-12-06,00:00:00
65df116078bcc048df19edb7,65df116078bcc048df19edb6,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253749-0352636-2804201,,ETUXTkS13Lu504D2fhhp,,,,,,approved,"2023-12-06 00:00:00",927,INR,41.715,,41.715,41.715,927,927,INR,2023-12-06,00:00:00
65df116178bcc048df19edcf,65df116178bcc048df19edce,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253749-1570508-0866403,,t1hbd1qajVxILGdrsAUF,,,,,,approved,"2023-12-06 00:00:00",927,INR,41.715,,41.715,41.715,927,927,INR,2023-12-06,00:00:00
65df116278bcc048df19edf3,65df116278bcc048df19edf2,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253749-2761400-0161001,,3HcpxOGXDQKixUr8VDQe,,,,,,approved,"2023-12-06 00:00:00",927,INR,41.715,,41.715,41.715,927,927,INR,2023-12-06,00:00:00
65df116678bcc048df19ee5c,65df116678bcc048df19ee5b,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253749-8511815-2003601,,10gbgE7dFVDTCUXdDIRB,,,,,,approved,"2023-12-06 00:00:00",927,INR,41.715,,41.715,41.715,927,927,INR,2023-12-06,00:00:00
65df116e78bcc048df19ef34,65df116e78bcc048df19ef33,8,Myntra,csv_upload,XX,XX,XX,655c58e5e2ae6d4a18742d03,"New User",1253756-0304705-4696403,,,,,,,,approved,"2023-12-06 00:00:00",2151.25,INR,193.613,,193.613,193.613,2151.25,2151.25,INR,2023-12-06,00:00:00
6602b30826ea3f50dc78fd17,6602b30826ea3f50dc78fd16,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253728-6222612-9934201,,6PkvqTRlJDOMbxnxcNHN,,,,,,approved,"2023-12-06 00:00:00",1914,INR,86.13,,86.13,86.13,1914,1914,INR,2023-12-06,00:00:00
6602b31726ea3f50dc78fe16,6602b31726ea3f50dc78fe15,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253749-4158697-0695603,,3HcpxOGXDQKixUr8VDQe,,,,,,approved,"2023-12-06 00:00:00",927,INR,41.715,,41.715,41.715,927,927,INR,2023-12-06,00:00:00
6602b4cad780f52287388efb,6602b4cad780f52287388efa,8,Myntra,csv_upload,XX,XX,XX,655c58e5e2ae6d4a18742d03,"New User",Mysc1039773260,,MMDmYeJ8DAz2uOdUKsqo,,,,,,rejected,"2023-12-06 00:00:00",408,INR,36.72,,36.72,36.72,408,408,INR,2023-12-06,00:00:00
65e967b6ba8d8f68da3019b1,65e967b6ba8d8f68da3019b0,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253834-8723943-7002503,,8DtYOC8vbc43odJq9ZnS,,,,,,rejected,"2023-12-07 00:00:00",719,INR,0,,0,0,719,719,INR,2023-12-07,00:00:00
6602b38ed780f52287387ad3,6602b38ed780f52287387ad2,8,Myntra,csv_upload,XX,XX,XX,655c58e5e2ae6d4a18742d03,"New User",1253835-3650553-2391403,,8DtYOC8vbc43odJq9ZnS,,,,,,rejected,"2023-12-07 00:00:00",440,INR,39.6,,39.6,39.6,440,440,INR,2023-12-07,00:00:00
657294c94c58f405384d9804,6557884ebc12b403452b1032,4,Flipkart,acquisition,IN,Ludhiana,"Netplus Broadband",,Default,84527129,,ayEt5mvNksmqqDNmVQ3w,263,hyyzo,,,mobile,approved,"2023-12-08 00:00:00",196,INR,2.7,34.77.11.122,2.7,2.7,196,196,INR,2023-12-08,00:00:00
657294c97fe1a5053ecc416f,6557884ebc12b403452b1032,4,Flipkart,acquisition,IN,Ludhiana,"Netplus Broadband",,Default,84527120,,ayEt5mvNksmqqDNmVQ3w,263,hyyzo,,,mobile,approved,"2023-12-08 00:00:00",196,INR,2.7,34.77.11.122,2.7,2.7,196,196,INR,2023-12-08,00:00:00
657294c9e8490404f317de44,6557884ebc12b403452b1032,4,Flipkart,acquisition,IN,Ludhiana,"Netplus Broadband",,Default,84527108,,ayEt5mvNksmqqDNmVQ3w,263,hyyzo,,,mobile,approved,"2023-12-08 00:00:00",9,INR,0,34.77.11.122,0,0,9,9,INR,2023-12-08,00:00:00
657294c92aa913050f66e364,6557884ebc12b403452b1032,4,Flipkart,acquisition,IN,Ludhiana,"Netplus Broadband",,Default,84527114,,ayEt5mvNksmqqDNmVQ3w,263,hyyzo,,,mobile,approved,"2023-12-08 00:00:00",196,INR,2.7,34.77.11.122,2.7,2.7,196,196,INR,2023-12-08,00:00:00
657294c9ef47ed05235b85ef,6557884ebc12b403452b1032,4,Flipkart,acquisition,IN,Ludhiana,"Netplus Broadband",,Default,84527079,,ayEt5mvNksmqqDNmVQ3w,263,hyyzo,,,mobile,approved,"2023-12-08 00:00:00",197,INR,2.7,34.77.11.122,2.7,2.7,197,197,INR,2023-12-08,00:00:00
657294c9552c0d0508ea279e,6557884ebc12b403452b1032,4,Flipkart,acquisition,IN,Ludhiana,"Netplus Broadband",,Default,84527097,,ayEt5mvNksmqqDNmVQ3w,263,hyyzo,,,mobile,approved,"2023-12-08 00:00:00",197,INR,2.7,34.77.11.122,2.7,2.7,197,197,INR,2023-12-08,00:00:00
657294c91a47f70522119d94,6557884ebc12b403452b1032,4,Flipkart,acquisition,IN,Ludhiana,"Netplus Broadband",,Default,84527115,,ayEt5mvNksmqqDNmVQ3w,263,hyyzo,,,mobile,approved,"2023-12-08 00:00:00",196,INR,2.7,34.77.11.122,2.7,2.7,196,196,INR,2023-12-08,00:00:00
657294c95027cb04a3424738,6557884ebc12b403452b1032,4,Flipkart,acquisition,IN,Ludhiana,"Netplus Broadband",,Default,84527087,,ayEt5mvNksmqqDNmVQ3w,263,hyyzo,,,mobile,approved,"2023-12-08 00:00:00",196,INR,2.7,34.77.11.122,2.7,2.7,196,196,INR,2023-12-08,00:00:00
65df0d6c78bcc048df199db0,65df0d6c78bcc048df199daf,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253855-3682677-6853001,,CvmwqkbRvVmxCH0pzAYM,222,,,,,approved,"2023-12-08 00:00:00",1491.759,INR,67.129,,67.129,67.129,1491.759,1491.759,INR,2023-12-08,00:00:00
65df0daa78bcc048df19a209,65df0daa78bcc048df19a208,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253876-0737848-3122701,,sOTaQQtZYVNIL0ZCHC1M,222,,,,,approved,"2023-12-08 00:00:00",669.134,INR,30.111,,30.111,30.111,669.134,669.134,INR,2023-12-08,00:00:00
65df0db778bcc048df19a302,65df0db778bcc048df19a301,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253886-9983806-3395601,,YKLkDsIHCD5Z1SHSKkkB,222,,,,,approved,"2023-12-08 00:00:00",1567.48,INR,70.537,,70.537,70.537,1567.48,1567.48,INR,2023-12-08,00:00:00
65df0e0878bcc048df19a89c,65df0e0878bcc048df19a89b,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253904-7793921-0689503,,ecl9nxjP2VOr5Gp2m25T,222,,,,,approved,"2023-12-08 00:00:00",2065,INR,92.925,,92.925,92.925,2065,2065,INR,2023-12-08,00:00:00
65df0e5478bcc048df19ade5,65df0e5478bcc048df19ade4,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253932-6080621-5784501,,JujvcsIjRrpbLpSPVl14,222,,,,,approved,"2023-12-08 00:00:00",1964,INR,88.38,,88.38,88.38,1964,1964,INR,2023-12-08,00:00:00
65df0e5b78bcc048df19ae4e,65df0e5b78bcc048df19ae4d,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253938-0061313-0042501,,d7q2XyReQ6N7gMbkk1eM,222,,,,,approved,"2023-12-08 00:00:00",3936,INR,177.12,,177.12,177.12,3936,3936,INR,2023-12-08,00:00:00
65df119d78bcc048df19f462,65df119d78bcc048df19f461,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253852-7828419-9165401,,4zYn1J974mjmnSNuY1Yv,,,,,,approved,"2023-12-08 00:00:00",4217,INR,189.765,,189.765,189.765,4217,4217,INR,2023-12-08,00:00:00
65df11a078bcc048df19f4bc,65df11a078bcc048df19f4bb,8,Myntra,csv_upload,XX,XX,XX,655c590c7746c16a12150895,"Old User",1253852-9688814-2054701,,sIFtYfG1RTGdyXY6qRcB,,,,,,approved,"2023-12-08 00:00:00",4217,INR,189.765,,189.765,189.765,4217,4217,INR,2023-12-08,00:00:00
